date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:02	237/237	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Aug%202023%2011:13:01%20GMT	https://ce-recovery.suels.net/robots.txt		(from )
13:13:03	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2031%20Aug%202023%2011:13:02%20GMT	https://ce-recovery.suels.net/	/Users/zeus/websites/ce/ce-recovery.suels.net/index.html	(from )
13:13:04	10190/10190	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202023%2011:13:03%20GMT	https://ce-recovery.suels.net/home.php	/Users/zeus/websites/ce/ce-recovery.suels.net/home.html	(from https://ce-recovery.suels.net/)
13:13:04	3497/3497	---M-Z	200	added ('OK')	text/css	etag:%22da9-5ffa604a0a0fb-gzip%22	https://ce-recovery.suels.net/cardozo_styles.css	/Users/zeus/websites/ce/ce-recovery.suels.net/cardozo_styles.css	(from https://ce-recovery.suels.net/home.php)
13:13:06	24790/24790	---M--	200	added ('OK')	image/png	etag:%2260d6-5ffa64bdd4680%22	https://ce-recovery.suels.net/images/logos/apple-touch-icon.png	/Users/zeus/websites/ce/ce-recovery.suels.net/images/logos/apple-touch-icon.png	(from https://ce-recovery.suels.net/home.php)
13:13:07	16568/16568	---M--	200	added ('OK')	image/png	etag:%2240b8-5ffa64bdd4680%22	https://ce-recovery.suels.net/images/logos/favicon-32x32.png	/Users/zeus/websites/ce/ce-recovery.suels.net/images/logos/favicon-32x32.png	(from https://ce-recovery.suels.net/home.php)
13:13:08	15922/15922	---M--	200	added ('OK')	image/png	etag:%223e32-5ffa64bdd4680%22	https://ce-recovery.suels.net/images/logos/favicon-16x16.png	/Users/zeus/websites/ce/ce-recovery.suels.net/images/logos/favicon-16x16.png	(from https://ce-recovery.suels.net/home.php)
13:13:08	452/452	---M--	200	added ('OK')	text/html	etag:%221c4-5ffa64bec88c0%22	https://ce-recovery.suels.net/images/logos/site.webmanifest	/Users/zeus/websites/ce/ce-recovery.suels.net/images/logos/site.html	(from https://ce-recovery.suels.net/home.php)
13:13:10	2402/2402	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22962-5ffa64bec88c0%22	https://ce-recovery.suels.net/images/logos/safari-pinned-tab.svg	/Users/zeus/websites/ce/ce-recovery.suels.net/images/logos/safari-pinned-tab.svg	(from https://ce-recovery.suels.net/home.php)
13:13:11	10990/10990	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%222aee-5ffa64bec88c0%22	https://ce-recovery.suels.net/images/logos/favicon.ico	/Users/zeus/websites/ce/ce-recovery.suels.net/images/logos/favicon.ico	(from https://ce-recovery.suels.net/home.php)
